"filename", "language", "TypeScript", "Vue", "PostCSS", "SCSS", "XML", "comment", "blank", "total"
"d:\share2\electron-vue\src\components\gantt\components\GGanttTimeaxis.vue", "Vue", 0, 85, 0, 0, 0, 0, 9, 94
"d:\share2\electron-vue\src\components\gantt\composables\createBarDrag.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 18, 128
"d:\share2\electron-vue\src\components\gantt\composables\useBarDragLimit.ts", "TypeScript", 156, 0, 0, 0, 0, 5, 8, 169
"d:\share2\electron-vue\src\components\gantt\composables\useBarDragManagement.ts", "TypeScript", 189, 0, 0, 0, 0, 0, 17, 206
"d:\share2\electron-vue\src\components\gantt\composables\useDayjsHelper.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 9, 46
"d:\share2\electron-vue\src\components\gantt\composables\useTimePositionMapping.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 7, 32
"d:\share2\electron-vue\src\components\gantt\composables\useTimeaxisUnits.ts", "TypeScript", 121, 0, 0, 0, 0, 3, 9, 133
"d:\share2\electron-vue\src\components\gantt\playground.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\share2\electron-vue\src\components\gantt\provider\provideConfig.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\share2\electron-vue\src\components\gantt\provider\provideEmitBarEvent.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\share2\electron-vue\src\components\gantt\provider\provideGetChartRows.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\share2\electron-vue\src\components\gantt\provider\symbols.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 4, 20
"d:\share2\electron-vue\src\components\gantt\types.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 2, 19
"d:\share2\electron-vue\src\components\gantt\vue-ganttastic.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 7, 33
"d:\share2\electron-vue\src\components\modal.vue", "Vue", 0, 38, 0, 0, 0, 0, 4, 42
"d:\share2\electron-vue\src\entityMethods\detailTableMehods.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\share2\electron-vue\src\entityMethods\mainTableMethods.ts", "TypeScript", 9, 0, 0, 0, 0, 1, 2, 12
"d:\share2\electron-vue\src\entityMethods\searchTableMethods.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\share2\electron-vue\src\keyboardjs.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"d:\share2\electron-vue\src\main.ts", "TypeScript", 55, 0, 0, 0, 0, 1, 2, 58
"d:\share2\electron-vue\src\middleware\confirmMiddleware.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 2, 35
"d:\share2\electron-vue\src\middleware\entityMiddleWare.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"d:\share2\electron-vue\src\middleware\pageloadMiddleware.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"d:\share2\electron-vue\src\mousetrap.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"d:\share2\electron-vue\src\plugin\register.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 1, 43
"d:\share2\electron-vue\src\router\helper.ts", "TypeScript", 47, 0, 0, 0, 0, 13, 6, 66
"d:\share2\electron-vue\src\router\index.ts", "TypeScript", 103, 0, 0, 0, 0, 15, 9, 127
"d:\share2\electron-vue\src\samples\node-api.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 3, 14
"d:\share2\electron-vue\src\schema\base.ts", "TypeScript", 31, 0, 0, 0, 0, 1, 2, 34
"d:\share2\electron-vue\src\schema\baseEdit.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\businessTable\basicEntity.ts", "TypeScript", 748, 0, 0, 0, 0, 39, 14, 801
"d:\share2\electron-vue\src\schema\businessTable\basicEntityExtend.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 5, 10
"d:\share2\electron-vue\src\schema\businessTable\basicEntityFn.ts", "TypeScript", 165, 0, 0, 0, 0, 64, 20, 249
"d:\share2\electron-vue\src\schema\businessTable\contextMenu.ts", "TypeScript", 129, 0, 0, 0, 0, 26, 3, 158
"d:\share2\electron-vue\src\schema\businessTable\detailEntity.ts", "TypeScript", 86, 0, 0, 0, 0, 6, 5, 97
"d:\share2\electron-vue\src\schema\businessTable\detailEntityExtend.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 2, 31
"d:\share2\electron-vue\src\schema\businessTable\detailEntityGroup.ts", "TypeScript", 88, 0, 0, 0, 0, 2, 2, 92
"d:\share2\electron-vue\src\schema\businessTable\mainEditEntity.ts", "TypeScript", 122, 0, 0, 0, 0, 22, 6, 150
"d:\share2\electron-vue\src\schema\businessTable\mainEditEntityExtend.ts", "TypeScript", 30, 0, 0, 0, 0, 10, 1, 41
"d:\share2\electron-vue\src\schema\businessTable\mainEntity.ts", "TypeScript", 105, 0, 0, 0, 0, 7, 6, 118
"d:\share2\electron-vue\src\schema\businessTable\mainEntityExtend.ts", "TypeScript", 55, 0, 0, 0, 0, 4, 4, 63
"d:\share2\electron-vue\src\schema\businessTable\pageTree.ts", "TypeScript", 79, 0, 0, 0, 0, 4, 5, 88
"d:\share2\electron-vue\src\schema\businessTable\searchEntity.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"d:\share2\electron-vue\src\schema\businessTable\treeEntity.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"d:\share2\electron-vue\src\schema\button.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 1, 74
"d:\share2\electron-vue\src\schema\buttonFn.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 2, 14
"d:\share2\electron-vue\src\schema\buttonGroup.ts", "TypeScript", 85, 0, 0, 0, 0, 1, 2, 88
"d:\share2\electron-vue\src\schema\buttonMethod\detailButton.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\share2\electron-vue\src\schema\buttonMethod\editButton.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\share2\electron-vue\src\schema\buttonMethod\mainButton.ts", "TypeScript", 51, 0, 0, 0, 0, 62, 12, 125
"d:\share2\electron-vue\src\schema\column.ts", "TypeScript", 160, 0, 0, 0, 0, 2, 20, 182
"d:\share2\electron-vue\src\schema\columnFn.ts", "TypeScript", 326, 0, 0, 0, 0, 27, 39, 392
"d:\share2\electron-vue\src\schema\command.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 3, 5
"d:\share2\electron-vue\src\schema\createFn.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 2, 24
"d:\share2\electron-vue\src\schema\designForm.ts", "TypeScript", 60, 0, 0, 0, 0, 1, 9, 70
"d:\share2\electron-vue\src\schema\dialog.ts", "TypeScript", 249, 0, 0, 0, 0, 12, 17, 278
"d:\share2\electron-vue\src\schema\dialogComponent\baseInfoDialog.ts", "TypeScript", 24, 0, 0, 0, 0, 1, 6, 31
"d:\share2\electron-vue\src\schema\dialogComponent\codeEditDialog.ts", "TypeScript", 54, 0, 0, 0, 0, 1, 7, 62
"d:\share2\electron-vue\src\schema\dialogComponent\confirmDialog.ts", "TypeScript", 43, 0, 0, 0, 0, 1, 8, 52
"d:\share2\electron-vue\src\schema\dialogComponent\defaultDialog.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\dialogComponent\defaultFooter.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"d:\share2\electron-vue\src\schema\dialogComponent\entityDialog.ts", "TypeScript", 54, 0, 0, 0, 0, 1, 7, 62
"d:\share2\electron-vue\src\schema\dialogComponent\formDialog.ts", "TypeScript", 54, 0, 0, 0, 0, 1, 5, 60
"d:\share2\electron-vue\src\schema\dialogComponent\index.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 5, 13
"d:\share2\electron-vue\src\schema\dialogComponent\vueComponent\entitySearch.vue", "Vue", 0, 7, 0, 0, 0, 0, 4, 11
"d:\share2\electron-vue\src\schema\dialogDefault.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"d:\share2\electron-vue\src\schema\dialogFn.ts", "TypeScript", 192, 0, 0, 0, 0, 2, 22, 216
"d:\share2\electron-vue\src\schema\dialogFooter.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"d:\share2\electron-vue\src\schema\dialogHeader.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"d:\share2\electron-vue\src\schema\editClass\baseInfo.ts", "TypeScript", 182, 0, 0, 0, 0, 6, 4, 192
"d:\share2\electron-vue\src\schema\editClass\baseInfoTable.ts", "TypeScript", 66, 0, 0, 0, 0, 3, 4, 73
"d:\share2\electron-vue\src\schema\editClass\bool.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 27
"d:\share2\electron-vue\src\schema\editClass\codeEdit.ts", "TypeScript", 41, 0, 0, 0, 0, 2, 1, 44
"d:\share2\electron-vue\src\schema\editClass\number.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 4, 16
"d:\share2\electron-vue\src\schema\editClass\select.ts", "TypeScript", 78, 0, 0, 0, 0, 2, 2, 82
"d:\share2\electron-vue\src\schema\editClass\string.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 2, 45
"d:\share2\electron-vue\src\schema\editClass\time.ts", "TypeScript", 41, 0, 0, 0, 0, 1, 5, 47
"d:\share2\electron-vue\src\schema\editClass\wangEditor.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 27
"d:\share2\electron-vue\src\schema\editComponent\baseInfoView.ts", "TypeScript", 143, 0, 0, 0, 0, 2, 4, 149
"d:\share2\electron-vue\src\schema\editComponent\baseInfoView1.ts", "TypeScript", 178, 0, 0, 0, 0, 3, 2, 183
"d:\share2\electron-vue\src\schema\editComponent\boolView.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 2, 55
"d:\share2\electron-vue\src\schema\editComponent\datetimeView.ts", "TypeScript", 38, 0, 0, 0, 0, 1, 1, 40
"d:\share2\electron-vue\src\schema\editComponent\formitemView.ts", "TypeScript", 45, 0, 0, 0, 0, 2, 2, 49
"d:\share2\electron-vue\src\schema\editComponent\numberRangeView.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 2, 86
"d:\share2\electron-vue\src\schema\editComponent\numberView.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 2, 50
"d:\share2\electron-vue\src\schema\editComponent\selectView.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 1, 62
"d:\share2\electron-vue\src\schema\editComponent\stringRangeView.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 2, 86
"d:\share2\electron-vue\src\schema\editComponent\stringView.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 2, 49
"d:\share2\electron-vue\src\schema\entityButton.ts", "TypeScript", 201, 0, 0, 0, 0, 3, 6, 210
"d:\share2\electron-vue\src\schema\entityColumn.ts", "TypeScript", 123, 0, 0, 0, 0, 2, 10, 135
"d:\share2\electron-vue\src\schema\entityColumnTran.ts", "TypeScript", 265, 0, 0, 0, 0, 21, 1, 287
"d:\share2\electron-vue\src\schema\entityTable.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 3, 20
"d:\share2\electron-vue\src\schema\form.ts", "TypeScript", 158, 0, 0, 0, 0, 12, 2, 172
"d:\share2\electron-vue\src\schema\formFn.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 19
"d:\share2\electron-vue\src\schema\formitem.ts", "TypeScript", 184, 0, 0, 0, 0, 11, 2, 197
"d:\share2\electron-vue\src\schema\formitemComFn.ts", "TypeScript", 73, 0, 0, 0, 0, 18, 16, 107
"d:\share2\electron-vue\src\schema\formitemFn.ts", "TypeScript", 54, 0, 0, 0, 0, 18, 10, 82
"d:\share2\electron-vue\src\schema\http.ts", "TypeScript", 118, 0, 0, 0, 0, 3, 3, 124
"d:\share2\electron-vue\src\schema\icon.ts", "TypeScript", 63, 0, 0, 0, 0, 5, 15, 83
"d:\share2\electron-vue\src\schema\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"d:\share2\electron-vue\src\schema\input.ts", "TypeScript", 208, 0, 0, 0, 0, 2, 4, 214
"d:\share2\electron-vue\src\schema\layoutGrid.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 2, 39
"d:\share2\electron-vue\src\schema\layoutGridFn.ts", "TypeScript", 88, 0, 0, 0, 0, 15, 7, 110
"d:\share2\electron-vue\src\schema\list.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 2, 21
"d:\share2\electron-vue\src\schema\menu.ts", "TypeScript", 483, 0, 0, 0, 0, 16, 8, 507
"d:\share2\electron-vue\src\schema\popup.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 2, 39
"d:\share2\electron-vue\src\schema\popupFn.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 9
"d:\share2\electron-vue\src\schema\schemaComponent\baseInfoInputView.ts", "TypeScript", 29, 0, 0, 0, 0, 7, 0, 36
"d:\share2\electron-vue\src\schema\schemaComponent\buttonGroupView.ts", "TypeScript", 28, 0, 0, 0, 0, 2, 3, 33
"d:\share2\electron-vue\src\schema\schemaComponent\buttonView.ts", "TypeScript", 18, 0, 0, 0, 0, 14, 1, 33
"d:\share2\electron-vue\src\schema\schemaComponent\contextMenuView.ts", "TypeScript", 9, 0, 0, 0, 0, 4, 1, 14
"d:\share2\electron-vue\src\schema\schemaComponent\detailEntityView.ts", "TypeScript", 26, 0, 0, 0, 0, 12, 1, 39
"d:\share2\electron-vue\src\schema\schemaComponent\dialogPoolView.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\schemaComponent\dialogView.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 1, 22
"d:\share2\electron-vue\src\schema\schemaComponent\entityView.ts", "TypeScript", 21, 0, 0, 0, 0, 7, 1, 29
"d:\share2\electron-vue\src\schema\schemaComponent\formView.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 3, 26
"d:\share2\electron-vue\src\schema\schemaComponent\inputView.ts", "TypeScript", 113, 0, 0, 0, 0, 2, 0, 115
"d:\share2\electron-vue\src\schema\schemaComponent\instanceView.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 13
"d:\share2\electron-vue\src\schema\schemaComponent\layoutGridView.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 10
"d:\share2\electron-vue\src\schema\schemaComponent\menuItemView.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 9
"d:\share2\electron-vue\src\schema\schemaComponent\menuView.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"d:\share2\electron-vue\src\schema\schemaComponent\popupView.ts", "TypeScript", 11, 0, 0, 0, 0, 1, 1, 13
"d:\share2\electron-vue\src\schema\schemaComponent\tabView.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 21
"d:\share2\electron-vue\src\schema\schemaComponent\tableView.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 3, 35
"d:\share2\electron-vue\src\schema\selectEdit.ts", "TypeScript", 56, 0, 0, 0, 0, 1, 2, 59
"d:\share2\electron-vue\src\schema\selectEditFn.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 4, 28
"d:\share2\electron-vue\src\schema\system.ts", "TypeScript", 321, 0, 0, 0, 0, 25, 6, 352
"d:\share2\electron-vue\src\schema\tab.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 5, 106
"d:\share2\electron-vue\src\schema\tabForm.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 4, 45
"d:\share2\electron-vue\src\schema\table.ts", "TypeScript", 400, 0, 0, 0, 0, 19, 6, 425
"d:\share2\electron-vue\src\schema\tableColumnCom\allCom.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 3, 7
"d:\share2\electron-vue\src\schema\tableColumnCom\checkboxCom.ts", "TypeScript", 55, 0, 0, 0, 0, 2, 1, 58
"d:\share2\electron-vue\src\schema\tableColumnCom\columnFilterCom.ts", "TypeScript", 103, 0, 0, 0, 0, 2, 3, 108
"d:\share2\electron-vue\src\schema\tableColumnCom\defaultCom.ts", "TypeScript", 107, 0, 0, 0, 0, 53, 1, 161
"d:\share2\electron-vue\src\schema\tableColumnCom\defaultHeaderCom.ts", "TypeScript", 40, 0, 0, 0, 0, 12, 7, 59
"d:\share2\electron-vue\src\schema\tableColumnCom\showValueCom.ts", "TypeScript", 104, 0, 0, 0, 0, 2, 1, 107
"d:\share2\electron-vue\src\schema\tableDialogConfig.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 67
"d:\share2\electron-vue\src\schema\tableFn.ts", "TypeScript", 607, 0, 0, 0, 0, 62, 32, 701
"d:\share2\electron-vue\src\schema\tableStaticData.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 2, 21
"d:\share2\electron-vue\src\style.css", "PostCSS", 0, 0, 89, 0, 0, 25, 22, 136
"d:\share2\electron-vue\src\style\index.scss", "SCSS", 0, 0, 0, 216, 0, 27, 35, 278
"d:\share2\electron-vue\src\systemData\menuForm.ts", "TypeScript", 14, 0, 0, 0, 0, 1, 3, 18
"d:\share2\electron-vue\src\types\schema.d.ts", "TypeScript", 570, 0, 0, 0, 0, 15, 84, 669
"d:\share2\electron-vue\src\utils\equal.ts", "TypeScript", 31, 0, 0, 0, 0, 1, 12, 44
"d:\share2\electron-vue\src\utils\styleBuilder.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 3, 91
"d:\share2\electron-vue\src\utils\utils.ts", "TypeScript", 285, 0, 0, 0, 0, 25, 26, 336
"d:\share2\electron-vue\src\views\auth\login.vue", "Vue", 0, 5, 0, 0, 0, 0, 3, 8
"d:\share2\electron-vue\src\views\home.vue", "Vue", 0, 7, 0, 0, 0, 0, 3, 10
"d:\share2\electron-vue\src\views\index.vue", "Vue", 0, 287, 0, 0, 0, 3, 5, 295
"d:\share2\electron-vue\src\views\index1.vue", "Vue", 0, 119, 0, 0, 0, 10, 2, 131
"d:\share2\electron-vue\src\views\index10.vue", "Vue", 0, 90, 0, 0, 0, 0, 3, 93
"d:\share2\electron-vue\src\views\index11.vue", "Vue", 0, 58, 0, 0, 0, 0, 1, 59
"d:\share2\electron-vue\src\views\index2.vue", "Vue", 0, 116, 0, 0, 0, 5, 3, 124
"d:\share2\electron-vue\src\views\index3.vue", "Vue", 0, 116, 0, 0, 0, 5, 3, 124
"d:\share2\electron-vue\src\views\index4.vue", "Vue", 0, 168, 0, 0, 0, 7, 5, 180
"d:\share2\electron-vue\src\views\index5.vue", "Vue", 0, 51, 0, 0, 0, 1, 3, 55
"d:\share2\electron-vue\src\views\index6.vue", "Vue", 0, 146, 0, 0, 0, 0, 13, 159
"d:\share2\electron-vue\src\views\index7.vue", "Vue", 0, 10, 0, 0, 0, 0, 3, 13
"d:\share2\electron-vue\src\views\index8.vue", "Vue", 0, 251, 0, 0, 0, 63, 7, 321
"d:\share2\electron-vue\src\views\index9.vue", "Vue", 0, 85, 0, 0, 0, 64, 10, 159
"d:\share2\electron-vue\src\views\layout\ViewGrid.vue", "Vue", 0, 23, 0, 0, 0, 0, 3, 26
"d:\share2\electron-vue\src\vite-env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 2, 8
"d:\share2\electron-vue\src\vue-grid-layout.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 255651, 2465, 89, 216, 3, 6617, 1028, 266069
